time;total;exploitable;vols;memoire;retbdd
Thu May 03 22:04:31 CEST 2018;500473;427614;7142;7279;0.0
Thu May 03 22:04:41 CEST 2018;506111;432408;7171;7309;0.0
Thu May 03 22:04:51 CEST 2018;511738;437187;7181;7317;0.0
Thu May 03 22:05:01 CEST 2018;517365;441987;7204;7337;0.0
Thu May 03 22:05:11 CEST 2018;522990;446780;7220;7351;0.0
Thu May 03 22:05:22 CEST 2018;528606;451577;7242;7369;0.0
Thu May 03 22:05:31 CEST 2018;534234;456356;7270;7393;0.0
Thu May 03 22:05:41 CEST 2018;539851;461106;7282;7399;0.0
Thu May 03 22:05:51 CEST 2018;545466;465876;7296;7413;0.0
Thu May 03 22:06:01 CEST 2018;551090;470644;7317;7430;0.0
Thu May 03 22:06:11 CEST 2018;556735;475434;7347;7458;0.0
Thu May 03 22:06:21 CEST 2018;562371;480178;7366;7470;0.0
Thu May 03 22:06:31 CEST 2018;567994;484948;7388;7488;0.0
Thu May 03 22:06:41 CEST 2018;573624;489671;7408;7504;0.0
Thu May 03 22:06:51 CEST 2018;579230;494404;7424;7514;0.0
Thu May 03 22:07:01 CEST 2018;584845;499147;7449;7536;0.0
Thu May 03 22:07:12 CEST 2018;590465;503877;7459;7544;0.0
Thu May 03 22:07:22 CEST 2018;596090;508635;7478;7558;0.0
Thu May 03 22:07:34 CEST 2018;601706;513354;7494;7567;0.0
Thu May 03 22:07:43 CEST 2018;607315;518088;7518;7585;0.0
Thu May 03 22:07:54 CEST 2018;612931;522829;7536;7602;0.0
Thu May 03 22:08:05 CEST 2018;618559;527584;7560;7624;0.0
Thu May 03 22:08:17 CEST 2018;624189;532336;7577;7642;0.0
Thu May 03 22:08:28 CEST 2018;629843;537117;7617;7677;0.0
Thu May 03 22:08:38 CEST 2018;635499;541894;7638;7696;0.0
Thu May 03 22:08:50 CEST 2018;641157;546704;7672;7723;0.0
Thu May 03 22:09:01 CEST 2018;646818;551586;7718;7764;0.0
Thu May 03 22:09:12 CEST 2018;652481;556391;7734;7780;0.0
Thu May 03 22:09:24 CEST 2018;658135;561159;7758;7799;0.0
Thu May 03 22:09:35 CEST 2018;663771;565921;7770;7808;0.0
Thu May 03 22:09:46 CEST 2018;669415;570698;7796;7831;0.0
Thu May 03 22:09:57 CEST 2018;675082;575502;7824;7857;0.0
Thu May 03 22:10:07 CEST 2018;680743;580293;7851;7877;0.0
Thu May 03 22:10:19 CEST 2018;686412;585115;7886;7910;0.0
Thu May 03 22:10:30 CEST 2018;692089;589908;7910;7935;0.0
Thu May 03 22:10:42 CEST 2018;697784;594829;7977;8000;0.0
Thu May 03 22:10:54 CEST 2018;703488;599624;8006;8026;0.0
Thu May 03 22:11:06 CEST 2018;709186;604452;8026;8045;0.0
Thu May 03 22:11:18 CEST 2018;714892;609270;8052;8076;0.0
Thu May 03 22:11:29 CEST 2018;720610;614082;8078;8101;0.0
Thu May 03 22:11:39 CEST 2018;726314;618867;8092;8117;0.0
Thu May 03 22:11:50 CEST 2018;732006;623655;8109;8133;0.0
Thu May 03 22:12:01 CEST 2018;737678;628549;8147;8170;0.0
Thu May 03 22:12:12 CEST 2018;743372;633346;8177;8196;0.0
Thu May 03 22:12:24 CEST 2018;749077;638143;8205;8222;0.0
Thu May 03 22:12:35 CEST 2018;754776;642926;8226;8241;0.0
Thu May 03 22:12:47 CEST 2018;760472;647719;8241;8257;0.0
Thu May 03 22:12:59 CEST 2018;766178;652519;8265;8276;0.0
Thu May 03 22:13:11 CEST 2018;771918;657335;8300;8308;0.0
Thu May 03 22:13:23 CEST 2018;777652;662265;8338;8340;0.0
Thu May 03 22:13:35 CEST 2018;783391;667036;8361;8360;0.0
Thu May 03 22:13:48 CEST 2018;789117;671815;8374;8370;0.0
Thu May 03 22:13:59 CEST 2018;794827;676588;8386;8378;0.0
Thu May 03 22:14:10 CEST 2018;800531;681337;8404;8392;0.0
Thu May 03 22:14:24 CEST 2018;806225;686217;8429;8419;0.0
Thu May 03 22:14:35 CEST 2018;811919;690980;8448;8432;0.0
Thu May 03 22:14:48 CEST 2018;817614;695743;8471;8451;0.0
Thu May 03 22:14:59 CEST 2018;823320;700528;8502;8476;0.0
Thu May 03 22:15:11 CEST 2018;829023;705317;8519;8493;0.0
Thu May 03 22:15:23 CEST 2018;834710;710205;8548;8518;0.0
Thu May 03 22:15:35 CEST 2018;840388;714956;8564;8533;0.0
Thu May 03 22:15:47 CEST 2018;846055;719742;8580;8546;0.0
Thu May 03 22:16:00 CEST 2018;851711;724471;8599;8555;0.0
Thu May 03 22:16:11 CEST 2018;857358;729337;8638;8587;0.0
Thu May 03 22:16:22 CEST 2018;863011;734111;8659;8607;0.0
Thu May 03 22:16:34 CEST 2018;868654;738864;8679;8624;0.0
Thu May 03 22:16:46 CEST 2018;874295;743619;8695;8639;0.0
Thu May 03 22:16:57 CEST 2018;879929;748369;8704;8650;0.0
Thu May 03 22:17:10 CEST 2018;885549;753130;8719;8661;0.0
Thu May 03 22:17:24 CEST 2018;891200;758023;8781;8717;0.0
Thu May 03 22:17:36 CEST 2018;896832;762767;8802;8735;0.0
Thu May 03 22:17:48 CEST 2018;902457;767516;8821;8749;0.0
