time;total;exploitable;vols;memoire;retbdd
Thu May 03 20:35:41 CEST 2018;512763;437506;8014;6157;497.0
Thu May 03 20:35:52 CEST 2018;518525;442421;8051;6159;506.0
Thu May 03 20:36:02 CEST 2018;524284;447361;8092;6165;513.0
Thu May 03 20:36:11 CEST 2018;530044;452298;8125;6167;522.0
Thu May 03 20:36:20 CEST 2018;535798;457241;8159;6167;529.0
Thu May 03 20:36:31 CEST 2018;541556;462171;8185;6164;536.0
Thu May 03 20:36:40 CEST 2018;547317;467114;8215;6159;542.0
Thu May 03 20:36:49 CEST 2018;553074;472058;8242;6159;549.0
Thu May 03 20:37:02 CEST 2018;558828;476979;8272;6151;558.0
Thu May 03 20:37:12 CEST 2018;564578;481916;8301;6149;566.0
Thu May 03 20:37:21 CEST 2018;570317;486827;8323;6129;572.0
Thu May 03 20:37:32 CEST 2018;576057;491796;8361;6108;593.0
Thu May 03 20:37:41 CEST 2018;581772;496708;8384;6083;600.0
Thu May 03 20:37:50 CEST 2018;587482;501630;8407;6073;606.0
Thu May 03 20:38:01 CEST 2018;593200;506565;8440;6071;613.0
Thu May 03 20:38:11 CEST 2018;598919;511480;8465;6060;621.0
Thu May 03 20:38:22 CEST 2018;604645;516410;8496;6054;630.0
Thu May 03 20:38:30 CEST 2018;610365;521367;8529;6051;640.0
Thu May 03 20:38:40 CEST 2018;616088;526295;8562;6053;648.0
Thu May 03 20:38:50 CEST 2018;621813;531233;8584;6048;656.0
Thu May 03 20:39:01 CEST 2018;627535;536151;8604;6042;663.0
Thu May 03 20:39:09 CEST 2018;633269;541082;8640;6048;670.0
Thu May 03 20:39:20 CEST 2018;639001;546036;8673;6054;681.0
Thu May 03 20:39:31 CEST 2018;644732;550965;8698;6052;689.0
Thu May 03 20:39:42 CEST 2018;650474;555887;8726;6057;694.0
Thu May 03 20:39:51 CEST 2018;656208;560796;8751;6060;701.0
Thu May 03 20:40:02 CEST 2018;661940;565692;8782;6069;712.0
Thu May 03 20:40:11 CEST 2018;667664;570581;8806;6069;721.0
Thu May 03 20:40:21 CEST 2018;673379;575510;8834;6071;728.0
Thu May 03 20:40:31 CEST 2018;679105;580418;8860;6074;736.0
Thu May 03 20:40:42 CEST 2018;684832;585306;8889;6078;743.0
Thu May 03 20:40:51 CEST 2018;690544;590204;8913;6073;752.0
Thu May 03 20:41:03 CEST 2018;696262;595115;8939;6075;759.0
Thu May 03 20:41:12 CEST 2018;701985;599977;8969;6077;767.0
Thu May 03 20:41:21 CEST 2018;707707;604843;8995;6080;773.0
Thu May 03 20:41:31 CEST 2018;713443;609768;9029;6088;779.0
Thu May 03 20:41:41 CEST 2018;719178;614665;9059;6091;792.0
Thu May 03 20:41:51 CEST 2018;724917;619580;9092;6095;799.0
Thu May 03 20:42:03 CEST 2018;730658;624482;9126;6099;807.0
Thu May 03 20:42:12 CEST 2018;736383;629390;9155;6092;816.0
Thu May 03 20:42:20 CEST 2018;742105;634283;9181;6091;822.0
Thu May 03 20:42:31 CEST 2018;747830;639151;9206;6086;826.0
Thu May 03 20:42:42 CEST 2018;753557;644059;9234;6088;835.0
Thu May 03 20:42:52 CEST 2018;759290;648966;9270;6093;846.0
